case_id,case_type,input_origin,expected_behavior,model_id,prompt_version,actual_behavior,passed,latency_ms,unsupported_claims,notes
ordinary_01,ordinary,synthetic,pending,,,,,,,
ordinary_02,ordinary,synthetic,pending,,,,,,,
ordinary_03,ordinary,synthetic,pending,,,,,,,
ordinary_04,ordinary,synthetic,pending,,,,,,,
ordinary_05,ordinary,synthetic,pending,,,,,,,
ordinary_06,ordinary,synthetic,pending,,,,,,,
ordinary_07,ordinary,synthetic,pending,,,,,,,
ordinary_08,ordinary,synthetic,pending,,,,,,,
ambiguous_01,ambiguous,synthetic,pending,,,,,,,
ambiguous_02,ambiguous,synthetic,pending,,,,,,,
ambiguous_03,ambiguous,synthetic,pending,,,,,,,
ambiguous_04,ambiguous,synthetic,pending,,,,,,,
missing_01,missing_data,synthetic,pending,,,,,,,
missing_02,missing_data,synthetic,pending,,,,,,,
missing_03,missing_data,synthetic,pending,,,,,,,
missing_04,missing_data,synthetic,pending,,,,,,,
injection_01,instruction_injection,synthetic,pending,,,,,,,
injection_02,instruction_injection,synthetic,pending,,,,,,,
contradiction_01,contradiction,synthetic,pending,,,,,,,
contradiction_02,contradiction,synthetic,pending,,,,,,,
